Product Title,Price,Product ID,Category,Subcategory,Type,Short Description,Materials,Product Description,Likes,Features,Popularity
Elephants of Rajput Wallpaper,31000,MSSONKOLW000020,Wallpaper,Animal wallpapers,Animal,"1.07m x 5m/Roll,Elephants of Rajput Wallpaper /Acrylic Coated",Fabric,"""Elephants, symbols of wisdom, traverse gracefully through the arid landscape adorned with desert flora. Their playful spirit enlivens a traditional pooja room, while their gentle presence brings charm to a child's nursery.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,2
Jungle Paradise Wallpaper,32000,MSSONKOLW000029,Wallpaper,Tropical  wallpaper,Tropical,"1.07m x 5m/Roll, Jungle Paradise Wallpaper/Acrylic Coated",Traditional,"A vibrant jungle paradise wallpaper can enhance the sense of depth and openness in a room, boosting natural light and potentially reducing the reliance on artificial lighting for better energy efficiency.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof Environment friendly Environment friendly,2
Fusion Wallpaper,35000,MSSONKOLW000034,Wallpaper,Abstract wallpaper,Abstract,"1.07m x 5m/Roll,Fusion Wallpaper /Acrylic Coated",Traditional,"The Fusion wallpaper design, crafted by Ayatrio, features a striking abstract pattern that evokes the interweaving of vibrant leaves. This contemporary piece, available in a range of soothing color combinations, infuses any room with warmth and a touch of artistic flair, perfectly blending modern aesthetics with a hint of traditional Indian elegance.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof Environment friendly 100% recycle and reuse,2
Marble Glow Wallpaper,32000,MSSONKOLW000035,Wallpaper,Geometric Wallpaper,Geometric,"1.07m x 5m/Roll,Marble Glow /Acrylic Coated",Traditional,"Geometric Notes by Marble Glow is a wallpaper collection where sound and color frequencies unite in a vibrant dance of geometric forms. Lines, curves, squares, and circles interact in a rhythmic play of continuity and contrast, creating a dynamic harmony of shapes and colors.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof Environment friendly 100% recycle and reuse,2
Serene Mandala Wallpaper,32999,MSSONKOLW000045,Wallpaper,Abstract wallpaper,Abstract,"1.07m x 5m/Roll,Serene Mandala Wallpaper/Acrylic Coated",Fabric,"The Serene Mandala design by Ayatrio would invoke feelings of calm and balance, making it ideal for home interiors, yoga studios, or places meant for relaxation. Depending on the color scheme, it could also bring a soft, elegant aesthetic to modern or traditional spaces. Ayatrio, with its focus on artistic finesse, likely infuses cultural aesthetics into the wallpaper, giving it a distinct and timeless appeal.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,2
Modern Chevron wallpaper,8999,MSSONKOLW000052,Wallpaper,Geometric Wallpaper,Geometric,"1.07m x 5m/Roll,Modern Chevron wallpaper /Acrylic Coated",Fabric,"The Ayatrio Modern Chevron Wallpaper features a bold, zigzag pattern that adds energy and movement to any space. Its sharp, geometric lines create a dynamic visual effect, perfect for accent walls or modern interiors. The clean and structured design of the chevron pattern provides a stylish and contemporary touch, making it an ideal choice for those seeking a chic, modern aesthetic in their home or office.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,2
Desert Breeze wallpaper,6999,MSSONKOLW000048,Wallpaper,Plain and textured wallpaper,Plain and Texture Wallpaper,"1.07m x 5m/Roll,Desert Breeze Wallpaper /Acrylic Coated",Fabric,"The ""Desert Breeze"" wallpaper by Aytrio draws inspiration from the calm and vast beauty of the desert landscape. This design evokes a serene ambiance, with subtle, flowing patterns that mimic the gentle winds sweeping across sand dunes. Its texture and minimalistic design reflect the tranquility and timelessness of the desert, offering a refined, elegant backdrop for any space. Perfect for creating a peaceful and grounded atmosphere, this wallpaper embodies natural beauty with an understated charm.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,2
Indian Flora Fest Wallpaper,39000,MSSONKOLW000022,Wallpaper,Floral wallpapers,Floral ,"1.07m x 5m/Roll,Indian Flora Fest Wallpaper  /Acrylic Coated",Fabric,"Presenting our vibrant take on classic floral design: the Indian Flora Fest Wallpaper. The vivid flowers spread gracefully, bringing a touch of serene elegance with a modern twist. The rich tonal variations add depth and movement, making this sophisticated pattern perfect for transforming any room into a lively and enchanting space.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,1
Fern Treasure wallpaper,27000,MSSONKOLW000023,Wallpaper,Geometric Wallpaper,Geometric,"1.07m x 5m/Roll, Fern Treasure wallpaper /Acrylic Coated",Fabric,"Fern wallpaper by Ayatrio Design Lab offers a refreshing and elegant touch to any space. Featuring intricate fern patterns, this wallpaper brings a natural, serene ambience to your home. Perfect for creating a sophisticated yet calming environment, it blends seamlessly with various interior styles.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,1
Lunar Flow Wallpaper,32000,MSSONKOLW000032,Wallpaper,Abstract wallpaper,Abstract,"1.07m x 5m/Roll, Lunar Flow Wallpaper /Acrylic Coated",Traditional,"Ayatrio Design Studio crafted a large-scale fresco featuring hand-painted botanical patterns. The rich textures, vivid shades, and grand scale bring life-sized beauty to the walls. The opulent ""Lunar Flow"" wallcovering spans over five meters, showcasing contemporary colors and designs.
",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof Environment friendly 100% recycle and reuse,1
Banana Vatika Wallpaper,27000,MSSONKOLW000037,Wallpaper,,Tropical,"1.07m x 5m/Roll, Banana Vatika Wallpaper/Acrylic Coated",Traditional,"A vibrant, tropical banana leaf wallpaper featuring lush, overlapping green leaves with bold, detailed textures, creating an exotic and refreshing atmosphere that brings the essence of the jungle into any space.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,1
Architectural Arches Wallpaper,29999,MSSONKOLW000038,Wallpaper,Animal wallpapers,Abstract,"1.07m x 5m/Roll, Architectural Arches Wallpaper  /Acrylic Coated",Mural,"The Ayatrio Architectural Arches Wallpaper by Ayatrio offers a sophisticated blend of elegance and modern design, embodying timeless architectural beauty. This wallpaper not only enhances the ambiance but also reflects an artistic narrative of heritage fused with modern sensibilities, perfect for those who appreciate intricate designs and architectural charm.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,1
Pillar Stripes blue wallpaper,29999,MSSONKOLW000039,Wallpaper,Geometric Wallpaper,Geometric,"1.07m x 5m/Roll,Pillar Stripes wallpaper /Acrylic Coated",Mural,"The ""Pillar Stripes"" wallpaper by Ayatrio is a stunning blend of minimalist elegance and architectural grandeur. Inspired by the timeless form of classical pillars, this wallpaper features vertical stripes that evoke a sense of height, structure, and sophistication. ",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,1
Bold Triangle wallpaper,9999,MSSONKOLW000051,Wallpaper,Geometric Wallpaper,Geometric,"1.07m x 5m/Roll,Bold Triangle wallpaper/Acrylic Coated",Fabric,"Bold Triangle Wallpaper by Ayatrio features sharp, angular geometric shapes that create a powerful and modern aesthetic. The repeating triangular pattern adds depth and visual interest, making it perfect for statement walls or contemporary spaces. Its design reflects balance and harmony through its symmetrical layout, while the bold lines and angles infuse energy into any room. Ideal for adding a touch of sophistication, the wallpaper suits modern homes, offices, or creative spaces, bringing a sense of dynamism and architectural flair",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,1
Saffron Petals Wallpaper,21000,MSSONKOLW000012,Wallpaper,Floral wallpapers,Floral ,"1.07m x 5m/Roll, Saffron Petals Wallpaper /Acrylic Coated",Fabric,"Embrace the splendor of nature and intricate design with the Saffron Flourish Wallpaper Pattern. Created in collaboration with Suhana Hassan, this design showcases an expansive floral motif, elegantly crafted to bring a subtle yet vibrant charm to your walls.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse,0
Gardenia Glow Wallpaper,28000,MSSONKOLW000021,Wallpaper,Floral wallpapers,Tropical,"1.07m x 5m/Roll,Gardenia Glow Wallpaper /Acrylic Coated",Fabric," This Gardenia Glow wallpaper features a majestic floral design, inspired by the rich heritage of Rajputana, crafted to infuse your space with a blend of elegance and vibrant charm.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,0
Indian Flora Fest Wallpaper,25000,MSSONKOLW000026,Wallpaper,Floral wallpapers,Floral ,"1.07m x 5m/Roll, Indian Flora Fest /Acrylic Coated",Traditional,"Indian Flora Fest Wallpaper adds a touch of nature's beauty to any room with its vibrant, intricate patterns of flowers. Ideal for creating a fresh, lively atmosphere, it effortlessly enhances both modern and traditional interiors.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,0
Heritage Arch Wallpaper,8999,MSSONKOLW000049,Wallpaper,Geometric Wallpaper,Geometric,"1.07m x 5m/Roll,Heritage Arch Wallpaper /Acrylic Coated",Fabric,"Heritage Arch Wallpaper by Ayatrio is a striking blend of traditional and modern design elements. This wallpaper features an intricate arch pattern, reminiscent of classic architectural motifs. The repetitive arches create a structured yet fluid design, giving it a timeless aesthetic that complements both contemporary and vintage interiors. The wallpaper’s geometric layout provides depth, making it ideal for feature walls or entire rooms where a sense of sophistication is desired.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,0
